num,title
695,Journal of Modelling in Management
267,Harvard Business Review
278,Human Resource Development Quarterly
348,International Journal of Contemporary Hospitality Management
340,International Journal of Business and Systems Research
298,Industrial Marketing Management
352,International Journal of Data and Network Science
768,Journal of health organization and management
689,Journal of Marketing Management
823,Managerial Auditing Journal
525,"Journal of Asian Finance, Economics and Business"
1030,The International Journal of Management
946,Safety Science
430,International Journal of Organizational Analysis
795,Leadership Quarterly
307,Information Systems Management
630,Journal of Hospitality and Tourism Insights
550,Journal of Cleaner Production
428,International Journal of Operational Research
910,Reference Services Review
570,Journal of Developmental Entrepreneurship
437,International Journal of Productivity and Performance Management
930,Review of Industrial Organization
28,Advanced Science Letters
1059,The Journal of applied psychology
306,Information Sciences
811,Management Decision
705,Journal of Organizational Change Management
579,Journal of Economics and Finance
79,Banks and Bank Systems
407,International Journal of Lean Six Sigma
840,Mediterranean journal of social sciences
193,Entrepreneurial Business and Economics Review
1113,VINE Journal of Information and Knowledge Management Systems
1024,The International Food and Agribusiness Management Review
858,Organization Science
986,Studies in Economics and Finance
190,Engineering Optimization
269,Health Communication
745,Journal of Social Work
506,Journal of Advanced Research in Law and Economics
758,Journal of Transport and Supply Chain Management
358,International Journal of Economics and Business Research
427,International Journal of Occupational Safety and Ergonomics
1082,Tourism Management Perspectives
875,Polish journal of management studies
684,Journal of Marketing
1037,The Journal of Applied Behavioral Science
415,International Journal of Management and Decision Making
784,Journal of the Transportation Research Forum
378,International Journal of Financial Research
326,International Journal of Advertising
700,Journal of Operations Management
287,IEEE Transactions on Engineering Management
704,Journal of Organizational Behavior Management
369,International Journal of Engineering Business Management
1077,Tobacco Control
652,Journal of International Business Studies
1075,Thunderbird International Business Review
1086,Tourism and Hospitality Research
181,Emerging Markets Finance and Trade
1064,The North American Journal of Economics and Finance
1039,The Journal of Business
276,Human Relations
723,Journal of Relationship Marketing
1038,"The Journal of Asian Finance, Economics and Business"
44,Appetite
701,Journal of Operations and Supply Chain Management
738,Journal of Services Marketing
204,Estudios Gerenciales
743,Journal of Social Marketing
333,International Journal of Business Excellence
1009,The Annals of Regional Science
593,Journal of Entrepreneurship and Public Policy
