num,title
591,Journal of Central Banking Theory and Practice
1031,State and Local Government Review
759,Journal of Statistical Computation and Simulation
812,Local Government Studies
469,International Journal of Energy Economics and Policy
322,European Research Studies Journal
472,International Journal of Entrepreneurship and Small Business
589,Journal of Business Research
1049,Sustainable Cities and Society
31,Agrekon
1169,Tourism Economics
256,Economies
9,Accounting
132,"Cambridge Journal of Regions, Economy and Society"
574,Journal of Asset Management
1081,The Economic and Labour Relations Review
33,Agricultural Economics
348,Food Security
1057,Technology in Society
713,Journal of Monetary Economics
436,International Economic Journal
343,Financial Management
8,Accident; analysis and prevention
649,Journal of Ethnic and Migration Studies
1010,Society
770,Journal of Transport Geography
131,Cambridge Journal of Economics
1112,The Journal of Extension
791,Journal of the History of Economic Thought
788,Journal of the Asia Pacific Economy
34,Agricultural Finance Review
337,Finance Research Letters
813,Macroeconomic Dynamics
193,Demographic Research
414,Indian Journal of Economics and Development
1001,Social Indicators Research
820,Marine Policy
1108,The Journal of Development Studies
352,Forest Policy and Economics
787,Journal of the American Statistical Association
653,Journal of European Social Policy
998,Social Forces
805,Landscape and Urban Planning
465,International Journal of Economics and Financial Issues
1135,The North American Journal of Economics and Finance
112,Behavioral and Brain Sciences
730,Journal of Population Research
636,Journal of Economics and Business
1122,The Journal of Politics
944,"Resources, Conservation and Recycling"
554,Journal of Advanced Research in Law and Economics
808,Law and Development Review
739,Journal of Public Policy
754,Journal of Social Policy
1087,The European Journal of Finance
1209,World Development
490,International Journal of Manpower
1140,The Quarterly Review of Economics and Finance
98,Asian Social Science
497,International Journal of Public Administration
351,Foreign Trade Review
262,Education Economics
3,Academic Journal of Interdisciplinary Studies
1133,The Journal of international studies
120,Brookings Papers on Economic Activity
606,Journal of Contemporary Asia
951,Review of Development Economics
706,"Journal of Legal, Ethical and Regulatory Issues"
977,Review of applied socio-economic research
614,Journal of Development Economics
935,Research in Economics
265,Electronic Markets
244,Economics Bulletin
773,Journal of Urban Affairs
477,International Journal of Game Theory
840,Natural Hazards Review
595,Journal of Cleaner Production
278,Environment and Development Economics
474,International Journal of Financial Research
620,Journal of Economic Behavior and Organization
529,International Review of Applied Economics
746,Journal of Reviews on Global Economics
865,Palgrave Communications
12,Accounting and Finance
426,Innovation: The European Journal of Social Science Research
982,Romanian Journal of Economic Forecasting
1038,Studies in Comparative International Development
550,Japan and the World Economy
71,Applied Economics
373,Global Environmental Politics
253,Economics of Innovation and New Technology
1044,Studies on Russian Economic Development
250,Economics of Education Review
110,Banks and Bank Systems
1069,The Annals of Regional Science
1206,Work and Occupations
59,Annals of Operations Research
1176,Transport Policy
645,Journal of Environmental Economics and Management
703,Journal of Labor Economics
908,Psychological Science
744,Journal of Regulatory Economics
1064,The American Economist
1082,The Electricity Journal
792,Journal of the Knowledge Economy
1136,The Pacific Review
336,Feminist Economics
965,Review of Financial Studies
207,EUROPEAN RESEARCH STUDIES JOURNAL
307,European Economic Review
185,Croatian Operational Research Review
232,Economic Modelling
264,Electoral Studies
121,Bulletin of Indonesian Economic Studies
245,Economics Letters
694,Journal of International Economic Law
103,Australian Economic History Review
854,Open Economies Review
587,Journal of Business Economics and Management
378,Global Social Policy
290,Environmental and Resource Economics
596,Journal of Commodity Markets
738,Journal of Public Economics
937,Research in International Business and Finance
270,Energy Economics
400,IEEE Transactions on Engineering Management
27,"African Journal of Food, Agriculture, Nutrition and Development"
119,British Journal of Political Science
213,Ecological Indicators
681,Journal of Human Development and Capabilities
972,Review of Political Economy
916,Public Policy and Administration
277,Entrepreneurship and Sustainability Issues
841,Nature Climate Change
688,Journal of Institutional Economics
365,German Economic Review
179,Corporate Ownership and Control
259,Economy of region
224,Economic Analysis and Policy
169,Computational Economics
159,Cliometrica
885,Politicka Ekonomie
191,Decisions in Economics and Finance
56,Annals of Economics and Finance
623,Journal of Economic Geography
1125,The Journal of Real Estate Finance and Economics
776,Journal of Water Sanitation and Hygiene for Development
695,Journal of International Economics
1055,Technological and Economic Development of Economy
60,Annals of Tourism Research
639,Journal of Education and Work
254,Economics of Transportation
761,Journal of Sustainable Development
331,European journal of social sciences
1217,iranian economic review
349,Foods
881,Political Research Quarterly
919,Quantitative Finance
836,Monthly Review
4,Academy of Accounting and Financial Studies Journal
1060,"Territory, Politics, Governance"
430,Intereconomics
928,Regional Research of Russia
1,ASTIN Bulletin
729,Journal of Population Economics
515,International Journal of Urban and Regional Research
