num,title
409,The Catholic Historical Review
3,Accounting History
251,Journal of Social History
2,Academic Journal of Interdisciplinary Studies
378,Space and Culture
160,History of Photography
151,History Australia
267,Journal of the Early Republic
237,Journal of Medieval History
177,International Journal of Intelligence and CounterIntelligence
42,Archival Science
456,The Round Table
429,The Journal of Asian Studies
108,English Studies
443,The Journal of Transport History
416,The English Historical Review
55,Baptist Quarterly
354,Reti Medievali Rivista
430,The Journal of Ecclesiastical History
254,Journal of Southern History
417,The European Journal of the History of Economic Thought
412,The Classical Review
477,Urban Studies
280,Labour History
434,The Journal of Imperial and Commonwealth History
152,History Compass
15,Ambix
73,Caribbean Quarterly
78,Church History and Religious Culture
178,International Journal of Maritime History
386,Studies in Church History
245,Journal of Planning Education and Research
59,British Catholic History
449,The Middle East Journal
142,Hispania
111,Environment and Planning D: Society and Space
440,The Journal of North African Studies
67,Business History Review
328,"Parliaments, Estates and Representation"
427,The Journal of American History
453,The Public Historian
252,Journal of Southeast Asian Studies
200,Journal for Maritime Research
325,Papers of the British School at Rome
253,Journal of Southern African Studies
172,Intellectual History Review
83,Cliometrica
43,Archives and Manuscripts
71,Cambridge Archaeological Journal
190,Irish Theological Quarterly
259,Journal of Urban Affairs
444,The Journal of the Civil War Era
368,Social History of Medicine
348,Religion
420,The Historian
305,Modern Philology
223,Journal of Early Christian Studies
446,The London Journal
238,Journal of Medieval Iberian Studies
411,The Classical Quarterly
377,Southwestern Historical Quarterly
356,Reviews in American History
65,Bulletin of the School of Oriental and African Studies
77,Church History
308,Music and Letters
293,Medical History
112,Environmental History
220,Journal of Contemporary History
22,American Journal of Philology
394,Technology and Culture
192,Islam and Christian–Muslim Relations
370,Society
147,"Historical Journal of Film, Radio and Television"
264,Journal of World History
490,Women's History Review
148,Historical Materialism
57,Biblical Theology Bulletin
0,AJS Review
345,RUDN Journal of Russian History
135,Great Plains Quarterly
475,Urban Geography
441,The Journal of Pacific History
89,Contemporary British History
241,Journal of Modern Italian Studies
366,Slavic Review
350,Renaissance Quarterly
256,Journal of The Economic and Social History of The Orient
397,Tempo
425,The International Journal of the History of Sport
54,Austrian History Yearbook
167,Huntington Library Quarterly
415,The Eighteenth Century
445,The Journal of the Gilded Age and Progressive Era
179,International Journal of Middle East Studies
94,Costume
351,Renaissance Studies
198,Jewish Quarterly Review
143,Hispania Sacra
244,Journal of Near Eastern Studies
159,History of European Ideas
212,Journal of Asian and African Studies
217,Journal of British Studies
263,Journal of Women's History
300,Mnemosyne
194,Itinerario
318,Nottingham medieval studies
181,International Journal of Urban and Regional Research
30,Annals of Science
68,Byzantine and Modern Greek Studies
157,History of Education
63,Bulletin of the American Schools of Oriental Research
206,Journal of American Studies
452,The Political Quarterly
261,Journal of Urban History
287,"Law, Culture and the Humanities"
302,Modern Intellectual History
69,Byzantinische Zeitschrift
296,Mediterranean Historical Review
33,Antiquity
401,The Americas
292,Media History
185,Iran
364,Sefarad
291,Material Religion
488,Western Folklore
38,Archaeometry
113,Ethnic and Racial Studies
271,Journal of the History of Sexuality
40,Architectural Histories
231,Journal of Interdisciplinary History
389,Studies in People’s History
136,Greece and Rome
49,Arthuriana
209,Journal of Archaeological Science
90,Contemporary European History
260,Journal of Urban Design
393,Sustainability
487,Water History
202,Journal for the Study of the New Testament
186,Iranian Studies
294,Medieval Archaeology
448,The Medieval History Journal
369,Social Science History
169,IEEE Annals of the History of Computing
210,Journal of Archaeological Science: Reports
323,Paedagogica Historica
286,Law and History Review
283,Landscape History
462,The William and Mary Quarterly
471,Turkish Studies
468,Town Planning Review
183,International Review of Social History
421,The Historical Journal
396,Telos
476,Urban History
144,Historia
402,The Antiquaries Journal
297,Mediterranean journal of social sciences
413,The Court Historian
407,The Cambridge Law Journal
79,Cities
277,Klio
459,The Seventeenth Century
250,Journal of Roman Studies
266,Journal of the American Planning Association
246,Journal of Planning History
408,The Canadian Historical Review
100,Dissent
418,The European Legacy
337,Popular Music
53,Australian Historical Studies
360,Scandinavian Journal of History
154,History and Anthropology
