num,title
257,Topoi
224,Synthese
13,Behavioral and Brain Sciences
43,Ethical Theory and Moral Practice
9,Argumentation
87,International Journal of Systematic Theology
64,Harvard Theological Review
16,British Journal for the History of Philosophy
24,Comparative and Continental Philosophy
42,Erkenntnis
94,Islam and Christian–Muslim Relations
252,Theological Studies
86,International Journal of Public Theology
189,Pneuma
229,The Bulletin of Symbolic Logic
171,Philosophia
178,Philosophical Studies
196,Religions
184,Philosophy Today
123,Journal of Reformed Theology
138,Kantian Review
247,The Monist
99,Journal for the Study of the New Testament
234,The Expository Times
54,Faith and Philosophy
59,Frontiers in Psychology
251,The Review of Symbolic Logic
49,European Journal for the Philosophy of Religion
219,Studies in Christian Ethics
6,Ancient Philosophy
80,International Journal for Philosophy of Religion
102,Journal of Applied Non-Classical Logics
232,The College Mathematics Journal
185,Philosophy and Phenomenological Research
221,"Studies in Logic, Grammar and Rhetoric"
79,International Bulletin of Mission Research
34,Dialogue
260,Utilitas
238,The Journal of Ethics
226,Teaching Philosophy
76,Ideas Y Valores
165,Perspectives on Political Science
258,Toronto Journal of Theology
256,Theoria
211,Social Epistemology
170,Philosopher's Imprint
198,Religious Studies
11,Australasian Journal of Philosophy
245,The Journal of medicine and philosophy
44,Ethics
135,Journal of the Society of Christian Ethics
5,Analysis
114,Journal of Medical Ethics
118,Journal of Philosophical Logic
163,Pastoral Psychology
60,Frontiers of Philosophy in China
130,Journal of the American Philosophical Association
235,The Hastings Center report
12,Axiomathes
144,Logos and Episteme
202,Review of Philosophy and Psychology
120,Journal of Philosophy of Education
73,Human Studies
169,Phenomenology and the Cognitive Sciences
136,Jurisprudence
63,HTS Teologiese Studies / Theological Studies
90,International Studies in the Philosophy of Science
216,"Sport, Ethics and Philosophy"
98,Journal for the Study of the Historical Jesus
37,Ecclesiology
192,Practical Theology
38,Economics and Philosophy
214,South African Journal of Philosophy
105,Journal of Bioethical Inquiry
84,International Journal of Philosophical Studies
228,The British Journal for the Philosophy of Science
131,Journal of the British Society for Phenomenology
263,Vigiliae Christianae
161,Organon F
41,Episteme
125,Journal of Religious Ethics
1,Acta Theologica
85,International Journal of Philosophy and Theology
17,Cambridge Quarterly of Healthcare Ethics
56,Filozofija I Drustvo
195,Religion
241,The Journal of Religion
253,Theology
217,Studia Logica
74,Husserl Studies
194,Ratio
33,Dialectica
50,European Journal of Philosophy
103,Journal of Applied Philosophy
242,The Journal of Speculative Philosophy
35,Diametros
215,Southern Journal of Philosophy
21,Cognition
106,Journal of Business Ethics
