num,title
262,Governance
137,"Crime, Law and Social Change"
452,"Journal of Legal, Ethical and Regulatory Issues"
9,Administration
214,European Journal of Women's Studies
87,British Politics
771,Tobacco Control
457,Journal of Modern Italian Studies
476,Journal of Religion and Health
238,Forensic science international
597,Political Science Research and Methods
0,AIDS and Behavior
678,Social Science Quarterly
704,Sustainability
453,Journal of Liberty and International Affairs
410,Journal of Current Southeast Asian Affairs
355,International Review of Administrative Sciences
715,Terrorism and Political Violence
16,African Human Rights Law Journal
348,International Peacekeeping
248,German Law Journal
166,Development in Practice
320,International Journal of Communication
710,Technological Forecasting and Social Change
26,Ambiente & Sociedade
782,Value in health regional issues
70,Australian Journal of International Affairs
85,British Journal of Political Science
294,IMISCOE Research Series
493,Journal of World-Systems Research
667,Security and Human Rights
441,Journal of International Development
161,Democratization
363,International Studies Quarterly
557,Orbis
668,Slavic Review
525,Medical Education
574,Perspectives on European Politics and Society
292,Human Rights Review
32,American Journal of International Law
522,Media History
54,Asian Education and Development Studies
125,Contemporary Arab Affairs
239,Forest Policy and Economics
599,Political Studies Review
312,International Feminist Journal of Politics
401,Journal of Conflict and Security Law
381,Journal of Applied Security Research
517,Local Government Studies
688,South African Journal of International Affairs
92,Canadian Foreign Policy Journal
327,International Journal of Intelligence and CounterIntelligence
643,Review of African Political Economy
757,The Nonproliferation Review
246,Geoforum
640,Research Involvement and Engagement
692,South East Asia Research
99,China Report
103,Chinese Political Science Review
3,Academic Journal of Interdisciplinary Studies
655,SAGE Open
480,Journal of Social History
319,International Journal of Circumpolar Health
61,Asian Security
790,World Development
789,World Affairs
677,Social Science Computer Review
663,Scientometrics
300,Innovation in Aging
579,Philippine Political Science Journal
538,Millennium - Journal of International Studies
1,AJIL Unbound
458,Journal of Muslim Minority Affairs
83,British Journal of Canadian Studies
154,Current Opinion in Environmental Sustainability
274,Health and Human Rights
619,Psycho‐Oncology
228,Evaluation and program planning
208,European Journal of Political Research
265,Harvard international review
19,African Security
51,Asia-Pacific Review
364,International Studies Review
74,Australian Journal of Social Issues
636,Religion
37,American Review of Canadian Studies
35,American Political Science Review
767,The Washington Quarterly
485,Journal of Southern African Studies
305,International Affairs
353,International Relations
405,Journal of Contemporary East Asia Studies
736,The International Journal of Cuban Studies
601,Politics
593,Political Geography
197,Europe-Asia Studies
376,Japanese Journal of Political Science
33,American Journal of Pharmaceutical Education
89,Bulletin of the Atomic Scientists
142,Critical Policy Studies
610,Post-Soviet Affairs
634,Refugee Survey Quarterly
340,International Journal of Water Resources Development
588,Policy Studies Journal
252,Global Governance
47,Applied Health Economics and Health Policy
567,Party Politics
117,Comparative European Politics
613,Presidential Studies Quarterly
577,Perspectives on Politics
763,The Round Table
188,Environmental Policy and Governance
358,International Security
454,Journal of Medical Ethics
351,International Politics
501,Journalism
326,International Journal of Integrated Care
155,Current Sociology
399,Journal of Comparative Policy Analysis: Research and Practice
706,Sustainable Development
7,Acta Sociologica
649,Review of Public Personnel Administration
652,Revista De Ciencia Politica
205,European Journal of International Security
427,Journal of Global Ethics
330,International Journal of Population Data Science
637,Religions
467,Journal of Political Power
204,European Journal of International Relations
372,Irish Political Studies
511,Latin American Research Review
621,Public Administration Review
492,Journal of Urban Health
349,International Political Science Review
409,Journal of Current Chinese Affairs
181,Energy research and social science
39,Annals of the American Association of Geographers
598,Political Studies
739,The International Journal of Press/Politics
420,Journal of Ethnic and Migration Studies
681,Social Studies of Science
498,Journal of substance abuse treatment
184,Environment and Planning C: Politics and Space
24,Agenda
625,Public Management Review
566,Partecipazione e Conflitto
251,Global Environmental Politics
150,Cultural Trends
690,South Asian Studies
12,Africa
648,Review of Policy Research
536,Middle Eastern Studies
775,Transport Policy
64,Asian Survey
40,Annual Review of Political Science
160,Democracy and Security
426,Journal of Genocide Research
28,American Behavioral Scientist
719,The Australian journal of emergency management
735,The International History Review
583,Policing and Society
484,Journal of Southeast Asian Studies
602,Politics & Gender
408,Journal of Contemporary History
541,Morbidity and Mortality Weekly Report
148,Critique of Anthropology
91,Cambridge Review of International Affairs
133,Contemporary Security Policy
59,Asian Journal of Social Science
421,Journal of Eurasian Studies
321,International Journal of Constitutional Law
675,Social Movement Studies
508,Land Use Policy
62,Asian Social Science
171,Drug and Alcohol Review
532,Mediterranean journal of social sciences
258,Global Society
415,Journal of Education Policy
218,European Political Science Review
229,Eye
102,Chinese Journal of Communication
180,Electoral Studies
170,Dissent
553,Nordic Journal of Human Rights
770,Third World Quarterly
393,Journal of Cleaner Production
108,Climate and Development
664,Security Dialogue
520,Marine Policy
783,Violence Against Women
25,Alternative Law Journal
516,Local Environment
144,Critical Sociology
384,Journal of Asian and African Studies
461,Journal of Peace Research
487,Journal of Strategic Studies
22,African Studies Review
104,Cities
504,Jurnal Komunikasi: Malaysian Journal of Communication
146,Critical Studies on Terrorism
257,Global Social Policy
255,Global Policy
141,Critical Perspectives on Accounting
592,Political Communication
572,Peacebuilding
509,Latin American Perspectives
761,The RUSI Journal
315,International Interactions
6,Acta Politica
709,Teaching Public Administration
203,European Journal of International Law
666,Security Studies
423,Journal of European Public Policy
660,Science and Engineering Ethics
140,Critical Military Studies
740,The International Journal of the History of Sport
448,Journal of Latin American Geography
429,Journal of Health Communication
63,Asian Studies Review
418,Journal of Environmental Planning and Management
86,British Journal of Social Work
483,Journal of Sociology
626,Public Organization Review
325,International Journal of Health Policy and Management
365,International and Comparative Law Quarterly
603,Politics and Governance
291,Human Rights Quarterly
247,Geopolitics
182,Environment and Planning A
402,Journal of Contemporary African Studies
58,Asian Journal of Political Science
523,Media International Australia
528,Medical Teacher
165,Development and Change
703,Survival
687,South African Journal of Bioethics and Law
107,Civil Wars
206,European Journal of Migration and Law
609,Population Space and Place
189,Environmental Politics
726,The European Journal of Health Economics
318,International Journal for Population Data Science
187,Environmental Impact Assessment Review
359,International Social Work
570,Peace Review
691,South Atlantic Quarterly
404,Journal of Contemporary China
586,Policy Sciences
486,Journal of Strategic Security
540,Monthly Review
147,Critique Internationale
36,American Politics Research
543,Nationalism and Ethnic Politics
645,Review of International Political Economy
411,Journal of Democracy
52,Asian Affairs
261,Globalizations
120,Comparative Strategy
618,Progress in Human Geography
682,Social Work in Public Health
460,Journal of Peace Education
289,Human Resources for Health
430,Journal of Health Psychology
130,Contemporary Politics
616,"Progress in Community Health Partnerships: Research, Education, and Action"
278,Health reports
124,Conflict and Health
672,Social Inclusion
653,Revista De Indias
193,Ethnic and Racial Studies
754,The Journal of international studies
198,European Constitutional Law Review
65,Austral: Brazilian Journal of Strategy and International Relations
549,New Political Science
153,Current Issues in Criminal Justice
369,Intervention
302,Insight Turkey
49,Asia Europe Journal
378,Journal for Peace and Nuclear Disarmament
442,Journal of International Migration and Integration
777,Turkish Studies
245,Futures
80,BMJ Leader
237,Foreign Policy Analysis
500,Journal of transport and health
518,Maastricht Journal of European and Comparative Law
732,The Historian
126,Contemporary British History
209,European Journal of Political Theory
69,Australian Journal of Human Rights
791,World Economy and International Relations
697,Sport in Society
750,The Journal of Peasant Studies
718,The Americas
308,International Communication Gazette
654,Rural and remote health
555,North Korean Review
564,Parliamentary Affairs
38,American journal of health behavior
542,NISPAcee Journal of Public Administration and Policy
357,International Review of the Red Cross
545,Nature Climate Change
673,Social Indicators Research
628,Public Policy and Administration
760,The Political Quarterly
749,The Journal of Pacific History
414,Journal of Eastern African Studies
169,Disasters
374,Israel Affairs
656,SSM - Population Health
317,"International Journal for Crime, Justice and Social Democracy"
282,Historia
335,International Journal of Social Welfare
505,King's Law Journal
127,Contemporary European History
685,Sociology
571,Peace and Conflict Studies
537,Migration Letters
400,Journal of Conflict Resolution
394,Journal of Cold War Studies
679,Social Sciences
123,Conflict Management and Peace Science
392,Journal of Civil Society
276,Health information and libraries journal
481,Journal of Social Policy
521,Meanjin
768,Theatre Research International
216,European Planning Studies
111,Colombia Internacional
68,Australian Historical Studies
342,International Migration
57,Asian Journal of International Law
233,Feminist Review
507,Labour History
396,Journal of Communication
164,Development
17,African Journal of International and Comparative Law
173,"Drugs: Education, Prevention and Policy"
772,Tobacco Induced Diseases
674,Social Media + Society
109,Cogent Social Sciences
510,Latin American Politics and Society
345,International Organisations Research Journal
114,Communist and Post-communist Studies
746,The Journal of Legislative Studies
382,Journal of Asian Public Policy
702,Studies in Indian Politics
11,Administrative Sciences
222,European Security
465,Journal of Political Ecology
73,Australian Journal of Public Administration
755,The Journal of the Middle East and Africa
647,Review of Middle East Studies
524,Media and Communication
403,Journal of Contemporary Asia
446,Journal of Intervention and Statebuilding
113,Commonwealth Law Bulletin
416,Journal of Education and Health Promotion
431,Journal of Healthcare Management
81,Behavioral Sciences of Terrorism and Political Aggression
383,Journal of Asian Security and International Affairs
669,Social Compass
88,Bulletin of Latin American Research
569,"Peace Economics, Peace Science and Public Policy"
316,International Journal
224,European Urban and Regional Studies
573,Perfiles Latinoamericanos
413,Journal of East Asian Studies
219,European Politics and Society
756,The Middle East Journal
630,Public Relations Review
624,Public Integrity
785,Water Policy
249,German Politics
322,International Journal of Cultural Policy
533,Middle East Critique
587,Policy Studies
464,"Journal of Policing, Intelligence and Counter Terrorism"
223,European Union Politics
759,The Polar Journal
271,Health Equity
623,Public Choice
44,Anuario De Estudios Americanos
765,The Social Sciences
313,International Health
780,Urban Studies
620,Public Administration
71,Australian Journal of Political Science
699,Strategic Analysis
119,Comparative Political Studies
774,Transnational Environmental Law
712,Telecommunications Policy
499,Journal of the Medical Library Association : JMLA
779,Urban Policy and Research
731,The Health Care Manager
475,Journal of Refugee Studies
515,Leiden Journal of International Law
202,European Journal of Criminology
183,Environment and Planning C: Government and Policy
391,Journal of Chinese Political Science
277,Health promotion international
217,European Political Science
135,Continuum
389,Journal of Business Ethics
728,The Extractive Industries and Society
132,Contemporary Review of the Middle East
199,European History Quarterly
293,IDS Bulletin
128,Contemporary Italian Politics
758,The Pacific Review
55,Asian Ethnicity
194,Ethnicities
100,China perspectives
331,International Journal of Public Administration
200,European Journal of American Studies
254,Global Media and Communication
477,Journal of Risk Research
174,East Asia
341,International Journal on Minority and Group Rights
143,Critical Social Policy
145,Critical Studies on Security
456,Journal of Modern European History
105,Citizenship Studies
5,Accident; analysis and prevention
159,Dementia
221,European Review
661,Science and Public Policy
773,Town Planning Review
385,Journal of Australian Studies
444,Journal of International Relations and Development
560,Pacific Focus
482,Journal of Social Sciences
296,India Quarterly
284,"Historical Journal of Film, Radio and Television"
269,Health Communication
84,British Journal of Middle Eastern Studies
642,Resources Policy
539,Modern Asian Studies
156,Daedalus
608,Polity
244,Fudan Journal of the Humanities and Social Sciences
333,International Journal of Public Sector Management
693,South European Society and Politics
230,Federal Law Review
751,The Journal of Politics
266,Health
270,Health Education Journal
698,State and Local Government Review
201,European Journal of Communication
82,Bioethics
407,Journal of Contemporary European Studies
638,Representation
734,The Innovation Journal
273,Health Sociology Review
373,Islam and Christian–Muslim Relations
311,"International Environmental Agreements: Politics, Law and Economics"
494,Journal of Youth Studies
79,BMC Medical Ethics
368,International journal of health policy and management
397,Journal of Community Health
632,Quality Management in Health Care
267,Health Care Analysis
152,Current History
158,Defence and Peace Economics
737,The International Journal of Human Rights
627,Public Performance & Management Review
285,Historical Social Research
338,International Journal of Transitional Justice
575,Perspectives on Federalism
463,Journal of Planning Education and Research
134,Contemporary South Asia
220,European Public Law
723,The China Quarterly
324,International Journal of Health Economics and Management
110,Cold War History
263,Government and Opposition
472,Journal of Public Deliberation
651,Revista Brasileira De Politica Internacional
455,Journal of Military Ethics
596,Political Science
343,International Migration Review
581,Polar Record
641,Research Policy
314,International Indigenous Policy Journal
98,China Information
680,Social Sciences in China
121,Comparative Studies in Society and History
445,Journal of Interpersonal Violence
136,Cooperation and Conflict
264,Griffith Law Review
707,Swiss Political Science Review
527,Medical Humanities
334,International Journal of Refugee Law
449,Journal of Latin American Studies
497,Journal of international women's studies
689,South Asia Research
227,Evaluation
604,Politics and Policy
175,East European Politics
332,International Journal of Public Health
720,The British Journal of Politics and International Relations
764,The Social Science Journal
548,New Political Economy
591,Political Behavior
659,Scandinavian Political Studies
