num,title
7,Acta psychologica
437,Journal of Family Issues
32,American Journal of Pharmaceutical Education
42,Annals of Behavioral Medicine
855,"The journals of gerontology. Series B, Psychological sciences and social sciences"
562,Journal of substance abuse treatment
264,Evaluation and program planning
685,Psychological Science
22,Aggressive behavior
778,Social Psychiatry and Psychiatric Epidemiology
605,Mindfulness
135,"Child: care, health and development"
198,Death Studies
771,Social Behavior and Personality
627,New directions for child and adolescent development
866,Translational Behavioral Medicine
181,Contemporary Educational Psychology
37,American journal of psychotherapy
718,Psychotherapy
341,International Journal of Offender Therapy and Comparative Criminology
145,Clinical Child Psychology and Psychiatry
531,Journal of behavior therapy and experimental psychiatry
875,Visual Cognition
702,Psychology and aging
450,Journal of Health Psychology
117,British journal of health psychology
780,Social Psychology
203,Development and Psychopathology
283,Games for health journal
869,Trends in Cognitive Sciences
738,Research in developmental disabilities
178,Comprehensive psychiatry
384,Journal of Career Development
435,Journal of Experimental Social Psychology
707,Psychology of Religion and Spirituality
30,American Journal of Men's Health
346,International Journal of Qualitative Methods
507,Journal of School Violence
732,Religions
680,Psychological Inquiry
96,Behavioral Sciences
390,Journal of Child and Family Studies
66,Archives of psychiatry and psychotherapy
225,Eating behaviors
247,European Addiction Research
158,Cognitive Development
400,Journal of Cognitive Psychotherapy
20,Aggression and Violent Behavior
316,Intelligence
291,Health Psychology Report
163,Cognitive Science
234,Educational Psychology in Practice
67,Archives of sexual behavior
721,Psycho‐Oncology
698,"Psychological trauma : theory, research, practice and policy"
118,British journal of psychology
693,Psychological methods
527,Journal of anxiety disorders
154,Cognition
870,Universal Journal of Educational Research
72,Asian journal of psychiatry
327,International Journal of Cognitive Therapy
416,Journal of Criminal Justice
646,Personality and Individual Differences
184,Cortex
564,Journal of the American Academy of Child and Adolescent Psychiatry
837,The Journal of Genetic Psychology
740,Research on Social Work Practice
867,Translational behavioral medicine
268,Evolutionary Psychology
581,Laterality
746,SSM - Population Health
151,Clinical psychology review
810,The American journal of orthopsychiatry
657,Praxis der Kinderpsychologie und Kinderpsychiatrie
597,Mediterranean journal of social sciences
545,Journal of experimental psychology. Human perception and performance
607,Motivation and Emotion
540,Journal of deaf studies and deaf education
826,The Humanistic Psychologist
62,Archives of Sexual Behavior
255,European Journal of Personality
757,School psychology
41,Animal Cognition
735,Research in Autism Spectrum Disorders
95,Behavioral Medicine
114,British Journal of Psychology
874,Vision
210,Developmental psychology
182,Contemporary Family Therapy
719,Psychotherapy Research
194,Current Psychology
65,Archives of gerontology and geriatrics
501,Journal of Research in Childhood Education
138,Children and Youth Services Review
599,Mental Health Clinician
872,Violence Against Women
743,Review of Philosophy and Psychology
687,Psychological Studies
835,The Journal of Extension
173,Communication Quarterly
139,Children and youth services review
196,Current opinion in psychology
110,Brain Impairment
482,Journal of Personality Assessment
499,Journal of Religion and Health
596,Mediterranean Journal of Clinical Psychology
116,British Journal of Social Work
456,"Journal of Infant, Child, and Adolescent Psychotherapy"
629,Nordic Psychology
492,Journal of Psychopathology and Behavioral Assessment
87,BMC Psychology
361,Journal of Addictive Diseases
524,Journal of abnormal psychology
619,Neuropsychologia
774,Social Development
565,Journal of the American Psychoanalytic Association
749,Safety and Health at Work
549,Journal of interpersonal violence
142,Chinese Journal of Neuromedicine
193,Current Issues in Personality Psychology
620,Neuropsychological Rehabilitation
345,International Journal of Public Health
12,Adoption & Fostering
336,International Journal of Human–Computer Interaction
297,Hispanic Journal of Behavioral Sciences
642,Perception
559,Journal of psychosomatic research
547,Journal of forensic and legal medicine
98,Behavioral and Brain Sciences
321,International Journal of Adolescence and Youth
132,Child development
166,Cognitive and Behavioral Neurology
436,Journal of Family Communication
604,Military Psychology
556,Journal of personality
458,Journal of Intelligence
381,Journal of Business Research
683,Psychological Reports
714,Psychophysiology
668,"Psychoanalysis, Self and Context"
1,AIDS and Behavior
104,Biological Psychology
10,Addictive behaviors
666,"Psychiatry, Psychology and Law"
