num,title
372,Journal of Latinos and Education
75,Citizenship Studies
129,Current Anthropology
394,Journal of Pragmatics
671,The Qualitative Report
523,Psychology of Women Quarterly
266,International Journal of Heritage Studies
363,Journal of Intercultural Studies
424,Journalism Practice
56,British Journal of Educational Studies
250,Inter-Asia Cultural Studies
382,Journal of Multilingual and Multicultural Development
381,Journal of Multicultural Discourses
357,Journal of Geography in Higher Education
560,Slavic Review
431,Language Policy
332,Journal of Contemporary European Studies
137,Demography
118,Cross-Cultural Research
540,Religion
229,Heritage
420,Journal of international women's studies
304,Journal of American Folklore
517,Pragmatics and Society
398,Journal of Research in Crime and Delinquency
154,Education 3-13
39,Area
451,Mediterranean journal of social sciences
104,Critical Asian Studies
468,Museum Management and Curatorship
180,European Early Childhood Education Research Journal
135,Democratization
347,Journal of Ethnic and Migration Studies
449,Media and Communication
418,Journal of Youth Studies
162,"Emotion, Space and Society"
160,Educational Studies
413,Journal of Tourism and Cultural Change
95,Contemporary Islam
314,Journal of Baltic Studies
211,"Gender, Work and Organization"
429,Landscape Research
430,Landscape and Urban Planning
287,International Review for the Sociology of Sport
282,International Migration
169,Environmental Sociology
376,Journal of Material Culture
485,Palgrave Communications
248,Integrative Psychological and Behavioral Science
697,Urban Studies
437,"Learning, Culture and Social Interaction"
170,Equity & Excellence in Education
600,Socius
337,Journal of Cultural Economy
199,Focaal
243,Hypatia
453,Men and Masculinities
575,Social Science Quarterly
326,Journal of Community Practice
435,Language in Society
334,Journal of Contemporary Religion
476,Nations and Nationalism
10,American Anthropologist
654,The International Journal of Human Rights
650,The Extractive Industries and Society
23,Annals of the Association of American Geographers
242,Human Studies
634,Text & Talk
91,Computers and Composition
408,Journal of Sociology
486,Parliamentary Affairs
336,Journal of Cross-Cultural Psychology
467,Museum International
713,Young
646,The Design Journal
276,International Journal of Qualitative Methods
384,Journal of Muslim Minority Affairs
595,Sociologija
308,Journal of Archaeological Science
354,Journal of Gender Studies
146,Discourse Studies
552,Scandinavian Journal of Educational Research
291,International Sociology
198,Feminist Theory
559,Sexualities
122,Cultural Studies
309,Journal of Archaeological Science: Reports
16,American Political Science Review
576,Social Sciences
99,Contemporary South Asia
51,Australian Feminist Studies
458,Migration Letters
247,Innovation in Aging
83,Communication Theory
42,Asian Anthropology
52,Australian Social Work
393,Journal of Political Science Education
144,Digital Journalism
608,South Asian Review
475,Nationalities Papers
176,Ethnopolitics
592,Sociological Research Online
258,International Journal of Communication
579,Social Work Education
57,British Journal of Middle Eastern Studies
438,"Learning, Media and Technology"
361,Journal of Human Behavior in the Social Environment
459,Millennium - Journal of International Studies
147,"Discourse, Context and Media"
643,The British journal of sociology
613,Sport in Society
195,Feminist Economics
349,Journal of European Public Policy
202,"Food, Culture & Society"
528,Qualitative Inquiry
226,Health Communication
196,Feminist Media Studies
164,Environment and Planning A
414,Journal of Transport Geography
637,The Anthropologist
174,Ethnography and Education
377,Journal of Middle East Women's Studies
171,Ethnic and Racial Studies
488,Party Politics
481,Organization
233,History and Anthropology
708,Women's Studies in Communication
359,Journal of Homosexuality
564,Social Dynamics
686,Tourism Geographies
410,Journal of Southern African Studies
667,The Middle East Journal
341,Journal of Curriculum Studies
47,Asian Perspective
597,Sociology Compass
621,Sustainability
207,Gender Issues
27,Anthropological Quarterly
212,Geoforum
217,Geoheritage
219,Global Discourse
61,British Journal of Sociology of Education
0,Academic Journal of Interdisciplinary Studies
462,Modern Asian Studies
79,Cogent Social Sciences
327,Journal of Consumer Culture
497,Policing and Society
177,Ethnos
102,Critical African Studies
587,Sociologia
411,Journal of Sustainable Tourism
224,HAU: Journal of Ethnographic Theory
172,Ethnicities
630,Technological Forecasting and Social Change
12,American Behavioral Scientist
533,Qualitative Social Work
254,"International Journal for Crime, Justice and Social Democracy"
656,The International Journal of the History of Sport
547,Review of International Studies
89,Comparative Sociology
677,The Urban Review
74,Cities
87,Comparative Migration Studies
268,International Journal of Intercultural Relations
633,Terrorism and Political Violence
619,Studies in Indian Politics
317,Journal of Borderlands Studies
658,The Journal of Asian Studies
469,Music Education Research
345,Journal of Education Policy
479,Nordic Social Work Research
493,Perspectives on Politics
59,British Journal of Religious Education
228,Health:
406,Journal of Social Work Education
244,Identities
707,Women's Studies International Forum
231,Historical Archaeology
184,European Journal of Cultural Studies
386,Journal of Occupational Science
535,Qualitative Sociology Review
557,Sex Education
115,Critical Studies on Security
84,Communications
71,Children's Geographies
443,Local Government Studies
412,Journal of Teaching in Social Work
251,Intercultural Education
526,Public Relations Review
699,Violence Against Women
676,The Sociological Review
441,Linguistics and Education
322,Journal of Classical Sociology
388,Journal of Planning Education and Research
371,Journal of Language and Politics
188,European Journal of Women's Studies
179,Europe-Asia Studies
60,British Journal of Social Work
68,Central Asian Survey
